iter	Passed	Remaining
416	3466	4846
417	3473	4836
418	3480	4826
419	3487	4815
420	3494	4805
421	3503	4798
422	3510	4788
423	3516	4777
424	3525	4769
425	3536	4764
426	3544	4756
427	3553	4749
428	3561	4740
429	3572	4735
430	3582	4729
431	3589	4719
432	3596	4709
433	3604	4700
434	3611	4691
435	3622	4685
436	3628	4674
437	3636	4665
438	3643	4655
439	3655	4651
440	3660	4640
441	3668	4631
442	3675	4621
443	3684	4614
444	3693	4606
445	3700	4596
446	3707	4587
447	3719	4583
448	3729	4576
449	3739	4570
450	3752	4568
451	3759	4558
452	3767	4548
453	3773	4538
454	3781	4529
455	3788	4519
456	3796	4511
457	3803	4501
458	3816	4498
459	3823	4488
460	3830	4478
461	3836	4467
462	3846	4460
463	3852	4450
464	3861	4442
465	3867	4432
466	3877	4425
467	3883	4414
468	3890	4404
469	3896	4394
470	3903	4384
471	3909	4373
472	3918	4366
473	3926	4356
474	3933	4347
475	3940	4337
476	3948	4329
477	3955	4319
478	3961	4308
479	3968	4299
480	3975	4289
481	3982	4280
482	3990	4271
483	4001	4266
484	4007	4255
485	4012	4243
486	4020	4234
487	4025	4223
488	4033	4215
489	4042	4207
490	4050	4199
491	4058	4190
492	4067	4183
493	4077	4176
494	4085	4168
495	4095	4161
496	4104	4153
497	4115	4148
498	4126	4143
499	4133	4133
500	4140	4123
501	4147	4114
502	4156	4107
503	4163	4097
504	4171	4089
505	4179	4080
506	4188	4072
507	4195	4063
508	4201	4052
509	4211	4046
510	4221	4040
511	4228	4030
512	4237	4022
513	4244	4013
514	4253	4005
515	4258	3994
516	4267	3987
517	4274	3977
518	4282	3969
519	4288	3958
520	4294	3948
521	4302	3939
522	4309	3930
523	4316	3921
524	4322	3910
525	4341	3911
526	4347	3901
527	4352	3890
528	4357	3880
529	4362	3869
530	4368	3858
531	4376	3850
532	4382	3839
533	4387	3828
534	4393	3818
535	4399	3808
536	4407	3800
537	4417	3793
538	4424	3784
539	4431	3774
540	4438	3765
541	4444	3755
542	4449	3745
543	4456	3735
544	4462	3725
545	4468	3715
546	4474	3705
547	4480	3695
548	4487	3686
549	4493	3676
550	4500	3666
551	4505	3656
552	4511	3646
553	4516	3636
554	4522	3626
555	4536	3623
556	4543	3613
557	4550	3604
558	4555	3594
559	4561	3584
560	4569	3575
561	4576	3566
562	4583	3557
563	4589	3548
564	4595	3538
565	4605	3531
566	4611	3521
567	4617	3512
568	4623	3502
569	4630	3493
570	4636	3483
571	4646	3476
572	4654	3468
573	4662	3460
574	4668	3450
575	4673	3440
576	4680	3431
577	4686	3421
578	4693	3412
579	4699	3402
580	4705	3393
581	4713	3384
582	4718	3375
583	4725	3365
584	4731	3356
585	4738	3347
586	4744	3338
587	4751	3329
588	4761	3322
589	4768	3313
590	4775	3304
591	4781	3295
592	4788	3286
593	4799	3280
594	4808	3272
595	4814	3263
596	4821	3254
597	4827	3245
598	4834	3236
599	4841	3227
600	4849	3219
601	4859	3212
602	4865	3203
603	4872	3194
604	4882	3188
605	4889	3178
606	4895	3169
607	4903	3161
608	4908	3151
609	4915	3142
610	4924	3135
611	4932	3127
612	4939	3118
613	4946	3109
614	4952	3100
615	4959	3091
616	4965	3082
617	4971	3072
618	4977	3063
619	4983	3054
620	4988	3044
621	4994	3035
622	4999	3025
623	5005	3016
624	5012	3007
625	5018	2998
626	5028	2991
627	5035	2982
628	5046	2976
629	5051	2966
630	5058	2958
631	5064	2948
632	5070	2939
633	5076	2930
634	5083	2921
635	5089	2913
636	5095	2903
637	5100	2894
638	5107	2885
639	5113	2876
640	5119	2867
641	5128	2859
642	5136	2852
643	5144	2843
644	5152	2836
645	5159	2827
646	5164	2817
647	5175	2811
648	5180	2801
649	5188	2793
650	5194	2784
651	5207	2779
652	5214	2770
653	5220	2762
654	5225	2752
655	5230	2742
656	5235	2733
657	5241	2724
658	5247	2715
659	5255	2707
660	5264	2700
661	5269	2690
662	5275	2681
663	5281	2672
664	5286	2663
665	5293	2654
666	5299	2645
667	5304	2636
668	5312	2628
669	5318	2619
670	5324	2610
671	5331	2602
672	5350	2599
673	5356	2590
674	5363	2582
675	5369	2573
676	5377	2565
677	5384	2557
678	5395	2550
679	5402	2542
680	5410	2534
681	5417	2526
682	5425	2517
683	5431	2509
684	5437	2500
685	5443	2491
686	5452	2484
687	5459	2475
688	5478	2472
689	5485	2464
690	5493	2456
691	5501	2448
692	5507	2439
693	5513	2431
694	5522	2423
695	5528	2414
696	5535	2406
697	5541	2397
698	5550	2390
699	5557	2381
700	5565	2373
701	5570	2364
702	5577	2356
703	5589	2350
704	5595	2341
705	5603	2333
706	5610	2325
707	5616	2316
708	5624	2308
709	5630	2299
710	5636	2291
711	5641	2281
712	5649	2273
713	5654	2264
714	5662	2256
715	5667	2247
716	5673	2239
717	5683	2232
718	5690	2224
719	5698	2216
720	5705	2207
721	5712	2199
722	5723	2192
723	5732	2185
724	5743	2178
725	5750	2170
726	5758	2162
727	5764	2153
728	5770	2145
729	5776	2136
730	5782	2127
731	5790	2120
732	5796	2111
733	5803	2103
734	5809	2094
735	5814	2085
736	5824	2078
737	5831	2070
738	5838	2061
739	5844	2053
740	5853	2046
741	5860	2037
742	5868	2029
743	5875	2021
744	5885	2014
745	5892	2006
746	5903	1999
747	5916	1993
748	5923	1985
749	5936	1978
750	5945	1971
751	5953	1963
752	5963	1956
753	5970	1947
754	5978	1939
755	5987	1932
756	5998	1925
757	6009	1918
758	6020	1911
759	6029	1903
760	6036	1895
761	6045	1888
762	6056	1881
763	6067	1874
764	6081	1868
765	6093	1861
766	6099	1852
767	6107	1845
768	6122	1839
769	6130	1831
770	6139	1823
771	6146	1815
772	6156	1808
773	6171	1801
774	6179	1794
775	6188	1786
776	6195	1778
777	6206	1770
778	6215	1763
779	6222	1755
780	6228	1746
781	6237	1738
782	6248	1731
783	6256	1723
784	6268	1716
785	6283	1710
786	6294	1703
787	6302	1695
788	6309	1687
789	6321	1680
790	6329	1672
791	6337	1664
792	6344	1656
793	6351	1647
794	6357	1639
795	6364	1631
796	6370	1622
797	6377	1614
798	6384	1606
799	6391	1597
800	6398	1589
801	6404	1581
802	6411	1573
803	6417	1564
804	6427	1556
805	6433	1548
806	6445	1541
807	6452	1533
808	6458	1524
809	6464	1516
810	6472	1508
811	6478	1499
812	6484	1491
813	6492	1483
814	6497	1474
815	6505	1466
816	6511	1458
