iter	Logloss
0	0.6911083576
1	0.6899059051
2	0.688392324
3	0.6866884412
4	0.6850988229
5	0.6835075062
6	0.6821278012
7	0.6808230922
8	0.6791425965
9	0.6770815639
10	0.6754000256
11	0.67352146
12	0.6720587571
13	0.6712038434
14	0.6697218519
15	0.6686746114
16	0.6669734967
17	0.6651463044
18	0.6637295917
19	0.6626909587
20	0.6612289436
21	0.6601827319
22	0.659311165
23	0.658156267
24	0.6571340985
25	0.6557415309
26	0.6543268451
27	0.6533698117
28	0.6525303575
29	0.6512453128
30	0.6500968638
31	0.6493182269
32	0.6479160525
33	0.6469967628
34	0.6454553957
35	0.6444939621
36	0.6431278296
37	0.6423651908
38	0.6415797092
39	0.640156407
40	0.6394494973
41	0.6382649806
42	0.6371289279
43	0.6360788372
44	0.6348438857
45	0.6340484925
46	0.6329746317
47	0.6319909159
48	0.6306446158
49	0.6299660641
50	0.6289830719
51	0.6282144809
52	0.6275584651
53	0.6261257462
54	0.6247350032
55	0.6239953594
56	0.6234126851
57	0.62267525
58	0.62184766
59	0.6208825805
60	0.6198943088
61	0.6192311103
62	0.6185190177
63	0.6172407843
64	0.6161583977
65	0.6153833912
66	0.6147387482
67	0.6140722805
68	0.6130368864
69	0.612126516
70	0.6113064917
71	0.6103890001
72	0.6096253051
73	0.6089937935
74	0.608317167
75	0.6071409169
76	0.6061528482
77	0.6048906895
78	0.6041734608
79	0.603740712
80	0.6031322687
81	0.602387918
82	0.601562389
83	0.6007127413
84	0.5998867495
85	0.5992354761
86	0.5983332149
87	0.5972271268
88	0.5965982054
89	0.5961070774
90	0.5951313123
91	0.5942359723
92	0.5937760213
93	0.5930553342
94	0.5926083587
95	0.5920244191
96	0.5910441527
97	0.590083527
98	0.5894869948
99	0.5888008673
100	0.5879477258
101	0.5871173288
102	0.5863730675
103	0.5856904534
104	0.5851603892
105	0.5846727371
106	0.5841396227
107	0.5832933808
108	0.5826033669
109	0.5820508015
110	0.5816959514
111	0.581091183
112	0.5803463217
113	0.5794997766
114	0.578678711
115	0.5781126554
116	0.5771995192
117	0.5767891829
118	0.5762020717
119	0.5753611821
120	0.5746545973
121	0.5742491327
122	0.5734583309
123	0.572923116
124	0.57238604
125	0.5715386612
126	0.5710730917
127	0.5706411784
128	0.5697237209
129	0.5694392605
130	0.5689877456
131	0.5681786423
132	0.5675677806
133	0.5668965547
134	0.5664159231
135	0.5658140684
136	0.5652121841
137	0.5645833564
138	0.5641138813
139	0.5633515629
140	0.562950648
141	0.5621956059
142	0.5617229851
143	0.5609211745
144	0.5605017379
145	0.5599882187
146	0.5595532097
147	0.5592048101
148	0.5588666576
149	0.5583556782
150	0.5576696363
151	0.5574161154
152	0.5567414049
153	0.5563884804
154	0.5559111977
155	0.5554032327
156	0.554955251
157	0.5543370216
158	0.5539755369
159	0.5536082859
160	0.5532090074
161	0.5524932592
162	0.5522177871
163	0.5517347046
164	0.5510363209
165	0.5505214454
166	0.5497465963
167	0.5491450176
168	0.5488122112
169	0.5484542615
170	0.5478660782
171	0.5471860695
172	0.5469014759
173	0.5460264679
174	0.5456430206
175	0.5452336286
176	0.5446343945
177	0.5443253356
178	0.5436312087
179	0.543476681
180	0.5431992218
